"Attrition","Age","JobRole","Department","JobSatisfaction","WorkLifeBalance","YearsAtCompany","OverTime","Education","EnvironmentSatisfaction","JobInvolvement","RelationshipSatisfaction","Gender","YearsInCurrentRole","JobLevel","TotalWorkingYears","EducationField","EmployeeNumber","PerformanceRating"
"Yes",41,"Sales Executive","Sales",4,1,6,"Yes",2,2,3,1,"Female",4,2,8,"Life Sciences",1,3
"No",49,"Research Scientist","Research & Development",2,3,10,"No",1,3,2,4,"Male",7,2,10,"Life Sciences",2,4
"Yes",37,"Laboratory Technician","Research & Development",3,3,0,"Yes",2,4,2,2,"Male",0,1,7,"Other",4,3
"No",33,"Research Scientist","Research & Development",3,3,8,"Yes",4,4,3,3,"Female",7,1,8,"Life Sciences",5,3
"No",27,"Laboratory Technician","Research & Development",2,3,2,"No",1,1,3,4,"Male",2,1,6,"Medical",7,3
"No",32,"Laboratory Technician","Research & Development",4,2,7,"No",2,4,3,3,"Male",7,1,8,"Life Sciences",8,3
"No",59,"Laboratory Technician","Research & Development",1,2,1,"Yes",3,3,4,1,"Female",0,1,12,"Medical",10,4
"No",30,"Laboratory Technician","Research & Development",3,3,1,"No",1,4,3,2,"Male",0,1,1,"Life Sciences",11,4
"No",38,"Manufacturing Director","Research & Development",3,3,9,"No",3,4,2,2,"Male",7,3,10,"Life Sciences",12,4
"No",36,"Healthcare Representative","Research & Development",3,2,7,"No",3,3,3,2,"Male",7,2,17,"Medical",13,3
"No",35,"Laboratory Technician","Research & Development",2,3,5,"No",3,1,4,3,"Male",4,1,6,"Medical",14,3
"No",29,"Laboratory Technician","Research & Development",3,3,9,"Yes",2,4,2,4,"Female",5,2,10,"Life Sciences",15,3
"No",31,"Research Scientist","Research & Development",3,2,5,"No",1,1,3,4,"Male",2,1,5,"Life Sciences",16,3
"No",34,"Laboratory Technician","Research & Development",4,3,2,"No",2,2,3,3,"Male",2,1,3,"Medical",18,3
"Yes",28,"Laboratory Technician","Research & Development",3,3,4,"Yes",3,3,2,2,"Male",2,1,6,"Life Sciences",19,3
"No",29,"Manufacturing Director","Research & Development",1,3,10,"No",4,2,4,3,"Female",9,3,10,"Life Sciences",20,3
